Sample,Similarity1_Score,Similarity2_Score,Similarity_Score
1,0.413894128,0.701199352,0.55754674
2,0.395808994,0.773726136,0.584767565
3,0.56529174,0.662297004,0.613794372
4,0.424388844,0.686657034,0.555522939
5,0.456317301,0.776050356,0.616183828
6,0.587696824,0.486585436,0.53714113
7,0.445541728,0.57822226,0.511881994
8,0.559626096,0.895529068,0.727577582
9,0.222776066,0.632866205,0.427821135
10,0.566607635,0.850215343,0.708411489
11,0.332514311,0.808787254,0.570650782
12,0.490202416,0.851468967,0.670835692
13,0.345095305,0.861281663,0.603188484
14,0.285926564,0.788447447,0.537187006
15,0.579984935,0.45292055,0.516452743
16,0.200029724,0.864931315,0.532480519
17,0.47094872,0.849351904,0.660150312
18,0.426405878,0.743671463,0.58503867
19,0.678586611,0.862970281,0.770778446
20,0.481294636,0.80350597,0.642400303
21,0.451513302,0.730313431,0.590913367
22,0.356534523,0.668120277,0.5123274
23,0.310632096,0.793509693,0.552070894
24,0.488451104,0.822698444,0.655574774
25,0.652417316,0.492477897,0.572447607
26,0.660122346,0.899198828,0.779660587
27,0.735916012,0.812275675,0.774095843
28,0.655471168,0.633607218,0.644539193
29,0.377866419,0.73279591,0.555331165
30,0.313451758,0.720718623,0.51708519
31,0.348546658,0.900898995,0.624722827
32,0.616382984,0.848240925,0.732311955
33,0.507612137,0.88700404,0.697308088
34,0.836421755,0.706431762,0.771426758
35,0.472174804,0.772361674,0.622268239
36,0.250141003,0.794703987,0.522422495
37,0.441129829,0.784521401,0.612825615
38,0.653165776,0.796778832,0.724972304
39,0.570515085,0.62203221,0.596273647
40,0.702253312,0.723032473,0.712642893
41,0.24881609,0.730802354,0.489809222
42,0.509841153,0.83227445,0.671057801
43,0.07003129,0.881470849,0.47575107
44,0.634465926,0.871992479,0.753229202
45,0.389979992,0.760718152,0.575349072
46,0.580126345,0.55792048,0.569023413
47,0.382628058,0.771250427,0.576939242
48,0.266923648,0.747501912,0.50721278
49,0.176203017,0.434936256,0.305569636
50,0.759638263,0.323490726,0.541564495
51,0.349985389,0.635718015,0.492851702
52,0.389190612,0.793137896,0.591164254
53,0.481333764,0.420488251,0.450911007
54,0.285788448,0.680054015,0.482921231
55,0.33858109,0.95787166,0.648226375
56,0.472144827,0.710748951,0.591446889
57,0.184408719,0.780826827,0.482617773
58,0.41385313,0.719585594,0.566719362
59,0.61318628,0.800571142,0.706878711
60,0.251549884,0.739187226,0.495368555
61,0.480100823,0.546650281,0.513375552
62,0.551880015,0.887592411,0.719736213
63,0.483340133,0.69538342,0.589361777
64,0.653629759,0.561255775,0.607442767
65,0.519208672,0.710826331,0.615017501
66,0.360095171,0.883391767,0.621743469
67,0.444638497,0.713545652,0.579092075
68,0.174205741,0.819133031,0.496669386
69,0.618509711,0.603828491,0.611169101
70,0.49198957,0.802968726,0.647479148
71,0.459789116,0.683280098,0.571534607
72,0.296779744,0.590322267,0.443551005
73,0.567543861,0.688085906,0.627814884
74,0.333641962,0.869976915,0.601809438
75,0.40171411,0.659375142,0.530544626
76,0.52718763,0.882059035,0.704623332
77,0.434513715,0.645882966,0.54019834
78,0.494470954,0.790587968,0.642529461
79,0.440333328,0.845517752,0.64292554
80,0.41905091,0.7984845,0.608767705
81,0.693760848,0.74352664,0.718643744
82,0.293107828,0.688610148,0.490858988
83,0.646740967,0.738747586,0.692744277
84,0.115852816,0.877246492,0.496549654
85,0.525451741,0.645556868,0.585504304
86,0.412508718,0.633022258,0.522765488
87,0.44433798,0.907332129,0.675835054
88,0.316852546,0.740450249,0.528651397
89,0.459940648,0.732735025,0.596337836
90,0.22725339,0.606018979,0.416636185
91,0.458047717,0.883176289,0.670612003
92,0.568814205,0.783732078,0.676273141
93,0.639193183,0.765502695,0.702347939
94,0.425338568,0.716482149,0.570910359
95,0.27618407,0.784090997,0.530137534
96,0.766933057,0.928197804,0.84756543
97,0.349989181,0.837058535,0.593523858
98,0.414016115,0.845199152,0.629607633
99,0.385895842,0.638581629,0.512238735
100,0.229436759,0.755592521,0.49251464
101,0.365687996,0.656859287,0.511273641
102,0.442407205,0.803285253,0.622846229
103,0.269115955,0.908929702,0.589022829
